id,PetType,Breed,AgeMonths,Color,Size,WeightKg,Vaccinated,HealthCondition,TimeInShelterDays,AdoptionFee,PreviousOwner,Adopted
500,Cat,Persian,104,Gray,Large,19.28299535408171,0,0,72,242,1,0
501,Dog,Labrador,90,Brown,Medium,25.70710835311941,0,0,31,132,0,1
502,Cat,Siamese,125,Orange,Small,29.603517033243666,1,0,41,341,1,0
503,Cat,Persian,64,Black,Large,20.136226138042133,1,0,66,319,0,0
504,Rabbit,Rabbit,122,Gray,Small,17.56520337882913,1,0,45,79,0,0
505,Cat,Persian,47,Brown,Medium,8.252391598504312,0,0,73,108,0,0
506,Dog,Labrador,167,Gray,Medium,13.69174277707046,1,0,11,198,0,1
507,Bird,Parakeet,72,Gray,Large,24.44237685244414,0,0,36,145,0,0
509,Rabbit,Rabbit,106,Orange,Large,14.576116314251337,0,0,34,422,0,0
510,Rabbit,Rabbit,95,White,Large,15.757672400053128,1,0,9,322,1,0
511,Dog,Poodle,158,Gray,Large,28.101667123033945,0,0,52,321,0,0
512,Rabbit,Rabbit,38,Black,Medium,20.1497390849097,1,0,17,432,0,1
513,Cat,Persian,133,Black,Small,21.88294798163509,1,0,6,331,0,0
514,Cat,Siamese,12,Orange,Small,19.744588251586023,0,0,69,484,0,0
515,Rabbit,Rabbit,16,Orange,Small,26.57519525814033,1,0,67,111,0,1
516,Dog,Labrador,158,Black,Medium,7.783761802602161,1,0,36,272,1,1
518,Bird,Parakeet,130,Gray,Small,1.4168156015555518,1,0,25,189,0,0
519,Bird,Parakeet,46,White,Medium,26.60066928916841,1,0,5,0,1,1
520,Bird,Parakeet,118,Black,Medium,25.2600193439188,1,0,40,290,0,1
521,Dog,Labrador,103,White,Medium,26.36356804059181,1,1,87,450,0,1
522,Bird,Parakeet,141,Gray,Large,26.071698905880424,0,0,49,301,0,0
523,Bird,Parakeet,81,Gray,Large,8.366899516170593,1,0,72,412,0,0
524,Bird,Parakeet,93,Gray,Large,1.5330487034820195,0,0,4,112,0,0
525,Bird,Parakeet,107,Gray,Small,12.715312215789424,1,1,17,134,0,0
527,Dog,Labrador,44,Gray,Small,12.590082060486855,0,1,6,300,0,0
528,Bird,Parakeet,94,Gray,Medium,8.896284160535892,1,0,17,201,0,1
529,Dog,Labrador,88,Black,Large,5.104114871048844,1,0,10,72,0,1
530,Rabbit,Rabbit,132,Orange,Large,8.969136512269117,1,0,21,393,0,0
531,Bird,Parakeet,2,Brown,Small,18.13366037196972,1,0,52,213,0,1
532,Dog,Labrador,163,Brown,Small,18.347437498217328,0,0,84,168,0,0
533,Dog,Poodle,124,White,Small,6.071634149651016,1,0,7,9,0,0
534,Cat,Persian,113,Black,Small,10.069492369463603,1,1,89,482,1,0
535,Dog,Labrador,28,Gray,Medium,27.46538102215032,1,0,10,420,0,1
536,Dog,Poodle,30,Orange,Small,6.72601569564282,0,0,41,60,0,0
537,Dog,Golden Retriever,38,Gray,Large,5.29373302517606,0,0,45,330,0,0
538,Bird,Parakeet,78,White,Medium,17.9150097170338,1,0,74,323,0,1
539,Dog,Labrador,177,Black,Large,13.90809324782183,0,0,12,30,0,1
541,Dog,Golden Retriever,149,Gray,Large,20.48730799988448,0,0,81,212,0,0
542,Dog,Poodle,28,Brown,Small,2.163613987569275,1,1,21,281,1,0
543,Cat,Siamese,19,Brown,Small,9.671367708671037,1,0,71,64,0,1
544,Rabbit,Rabbit,30,Gray,Small,25.3988518511754,0,0,20,407,0,0
545,Rabbit,Rabbit,141,Black,Large,27.739415261686112,0,0,54,40,0,0
547,Cat,Persian,152,Black,Small,7.512224608797995,1,0,43,14,0,0
548,Cat,Siamese,4,Brown,Small,7.592340061030796,0,1,23,333,0,0
549,Dog,Golden Retriever,154,Black,Large,16.210516652350314,0,1,20,488,0,0
550,Dog,Poodle,162,Black,Large,14.310121823895116,1,0,73,186,0,0
552,Rabbit,Rabbit,96,White,Medium,19.15353350362065,0,0,21,183,0,0
553,Bird,Parakeet,163,Black,Small,20.997908900463663,1,0,35,477,0,0
554,Bird,Parakeet,94,Orange,Large,6.209714160059819,1,0,81,382,0,0
555,Dog,Labrador,109,Orange,Large,15.30514399281824,0,0,89,118,1,0
556,Dog,Labrador,169,White,Medium,14.661428155033834,1,1,79,296,1,0
557,Bird,Parakeet,122,Gray,Medium,22.351364490853403,1,0,44,278,1,1
558,Rabbit,Rabbit,98,Gray,Large,17.737977172095892,0,0,73,316,1,0
559,Cat,Persian,104,Black,Large,20.865176513232186,1,0,54,442,0,0
560,Bird,Parakeet,26,Brown,Medium,14.629374605076038,0,0,50,298,0,0
561,Bird,Parakeet,22,Gray,Medium,20.391455662038897,0,0,46,433,0,1
562,Rabbit,Rabbit,96,Gray,Medium,29.507579944214395,1,0,52,67,1,1
563,Rabbit,Rabbit,151,Gray,Medium,3.737526801211916,0,0,16,176,0,0
564,Cat,Siamese,71,Black,Medium,7.788977284148577,1,0,18,220,1,1
565,Bird,Parakeet,81,Orange,Small,15.667412182207116,1,0,14,366,1,0
568,Dog,Poodle,55,Brown,Large,19.64876881266086,1,0,48,409,0,0
569,Bird,Parakeet,34,Brown,Small,19.53956870729827,1,0,55,347,0,0
570,Dog,Golden Retriever,154,Gray,Large,22.56447300925792,1,1,65,479,0,0
571,Dog,Golden Retriever,48,White,Small,17.285946468040336,1,0,62,462,0,0
573,Rabbit,Rabbit,158,Brown,Medium,12.730240869105373,1,0,3,126,0,1
574,Dog,Golden Retriever,145,White,Large,3.203811683159122,1,0,25,79,0,0
576,Dog,Golden Retriever,83,Orange,Small,11.18999003598515,0,0,15,241,0,0
577,Rabbit,Rabbit,152,Gray,Small,20.11200575187104,1,1,52,475,1,0
579,Bird,Parakeet,48,Black,Small,10.35104448160884,1,0,44,210,0,0
580,Cat,Siamese,145,Orange,Medium,17.94527222111856,1,0,67,239,0,1
581,Bird,Parakeet,116,White,Medium,20.55173106308296,1,1,50,115,1,0
582,Cat,Siamese,72,Gray,Small,28.695664668738388,1,1,4,239,1,0
583,Bird,Parakeet,70,Orange,Large,21.3395432490028,1,0,22,413,0,0
585,Dog,Labrador,68,White,Large,5.25993075347505,1,1,80,415,0,0
586,Dog,Labrador,28,Gray,Medium,25.903529498885923,0,0,67,365,0,1
587,Cat,Siamese,120,Orange,Small,23.413536746442027,1,0,81,70,1,0
588,Dog,Labrador,157,Gray,Small,3.927307141135567,1,1,58,441,1,0
589,Bird,Parakeet,20,Orange,Large,25.622269016179303,1,0,64,48,0,1
